trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",30,0,-67.76280374668364,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,0,-42.68111729142911,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,8,-62.02047135368367,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",20,8,6.9066350002051795,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,0,-87.52835357574386,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,4,-2.518730459284778,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,0,-54.01533606963905,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",20,0,-18.435360358284168,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,8,5.331417762613933,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,1,-55.80134694347825,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,11,5.152838183841295,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",30,0,-151.3797316616822,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,8,-16.68667623573725,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",30,0,-124.18392362219322,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,12,-11.79550183767509,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",35,13,-72.90076715878249,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 2}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",30,0,-36.31536663898503,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,15,-12.162820883245445,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,14,23.15580912702123,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",25,0,-29.398881524908607,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,0,-16.190911904150465,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",25,0,-68.31940043571983,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,2,12.619259235672803,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
